loan_id,name,date_of_birth,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,CIBIL_rating,income_level,loan_rating,loan_term_type,dependent_level,edu_status,type_employment,loan_approval
35,James Ballard,1971-03-17,3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,Average,Upper-Middle,Silver,Intermediate,Moderate,1,0,1
36,Randy Russo,2000-07-23,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,Good,Low-Middle,Bronze,Intermediate,Moderate,1,1,1
37,Natalie Lopez,1982-02-09,3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,Average,Low-Middle,Bronze,Long Term,Moderate,0,0,1
38,Megan Wu,1958-04-04,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,Poor,High,Gold,Short Term,High,1,1,0
39,Anthony Glenn,1996-12-31,5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,Excellent,Low-Middle,Bronze,Long Term,High,1,0,1
40,Ryan Hernandez,1998-07-06,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,Poor,Low-Middle,Bronze,Short Term,Moderate,0,1,0
41,Christopher Jacobs DVM,1990-12-14,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,Good,High,Silver,Short Term,Low,1,0,1
42,Gregory Oconnell,1997-11-25,2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,Excellent,High,Gold,Long Term,Moderate,0,0,1
43,Christopher Garner DDS,1997-05-27,3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,Poor,Low-Middle,Bronze,Short Term,Moderate,1,0,0
44,Annette Crawford,1958-10-07,2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,Poor,Low,Bronze,Intermediate,Moderate,1,1,0
45,Stephanie Powell,1961-04-03,5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,Excellent,Upper-Middle,Silver,Long Term,High,1,0,1
46,Jorge Walker,1973-08-02,4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,Poor,High,Gold,Long Term,High,1,0,0
47,Stacey Stephens,1988-10-09,3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,Good,Upper-Middle,Silver,Short Term,Moderate,0,1,1
48,Matthew Estes,1964-06-10,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,Good,Upper-Middle,Silver,Intermediate,Low,1,1,1
49,Anna Davila,1996-01-22,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,Average,Upper-Middle,Gold,Intermediate,Moderate,0,0,1
50,Anthony Park,1963-12-08,1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,Good,High,Silver,Long Term,Low,0,1,1
51,Shelley Ross,1989-11-20,4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,Poor,Upper-Middle,Gold,Long Term,High,1,0,0
52,Sharon Bowen,1974-08-29,2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,Poor,High,Gold,Intermediate,Moderate,1,0,0
53,Mrs. Hannah Edwards MD,1988-06-13,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,Good,Low-Middle,Bronze,Short Term,High,0,0,1
54,Nicolas Green,1967-10-12,1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,Good,High,Gold,Intermediate,Low,0,1,1
55,Terry Perez,1989-04-24,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,Average,Upper-Middle,Silver,Long Term,Moderate,1,1,1
56,Kenneth Gonzalez,1990-04-20,5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,Excellent,Upper-Middle,Gold,Intermediate,High,0,0,1
57,Andrew Bruce,2002-03-08,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,0,0,0
58,Aaron Bennett,2004-09-27,5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,Excellent,High,Platinum,Long Term,High,1,1,1
59,Dr. Michael Miller PhD,1962-11-18,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,Poor,Upper-Middle,Silver,Long Term,Low,1,0,0
60,Lauren Murphy,1989-01-13,4,Not Graduate,Yes,5500000,18200000,16,797,100000,4900000,18600000,4800000,Approved,Excellent,Upper-Middle,Silver,Long Term,High,0,1,1
61,Jason Martinez,1962-11-10,2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,Poor,High,Silver,Long Term,Moderate,0,0,0
62,Brandon Moody,1991-01-11,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,Good,High,Platinum,Long Term,Moderate,0,1,1
63,Lisa Carpenter,1959-04-17,5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,Poor,High,Gold,Short Term,High,0,1,0
64,Sarah Rose,1963-11-09,3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,Average,Low-Middle,Bronze,Long Term,Moderate,0,1,1
65,Jimmy Perez,1959-07-05,4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,Excellent,Low-Middle,Silver,Long Term,High,1,1,1
66,Zachary Williams,2002-05-10,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,1,0,0
67,Sarah George,1974-08-24,3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,Good,High,Gold,Intermediate,Moderate,0,0,1
68,Sherri Rios,1975-03-09,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,Good,Low-Middle,Silver,Long Term,Low,0,1,0
69,John Garcia,1971-07-19,4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,Excellent,Upper-Middle,Silver,Short Term,High,1,0,1
70,Virginia Sanchez,1973-06-19,0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Low,1,0,0
71,Aaron Moran MD,1991-03-29,4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,Poor,Low,Bronze,Long Term,High,0,1,0
72,Brenda Douglas,2006-03-19,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,Poor,Upper-Middle,Silver,Short Term,High,1,1,1
73,Lisa Graham,1962-10-11,5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,Poor,Upper-Middle,Silver,Short Term,High,0,0,0
74,Xavier Harris,2001-10-05,3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,Good,Upper-Middle,Silver,Long Term,Moderate,0,1,1
75,Matthew Hernandez,1995-04-01,2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,Poor,Low-Middle,Bronze,Short Term,Moderate,0,0,0
76,Michael Johnson,1963-06-12,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,Good,Low-Middle,Bronze,Long Term,Moderate,0,0,1
77,Justin King,2001-06-18,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,Good,Upper-Middle,Silver,Long Term,High,1,0,1
78,Joseph Benitez,1977-02-24,0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,Excellent,High,Platinum,Intermediate,Low,1,0,1
79,Kenneth Potter,2004-02-20,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,Average,High,Gold,Intermediate,Moderate,0,0,1
80,Bonnie Wall,1988-04-04,0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,Average,Low,Bronze,Intermediate,Low,0,0,1
81,David Elliott,1966-03-28,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,Poor,Low-Middle,Bronze,Short Term,High,1,0,0
82,George Williams,1977-09-14,0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,Excellent,High,Platinum,Short Term,Low,0,0,1
83,Dylan Hall,1986-12-23,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,Poor,High,Gold,Long Term,Moderate,0,1,0
84,Walter Woods,1961-03-23,3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,Average,Low-Middle,Bronze,Long Term,Moderate,1,0,1
85,Ryan Patrick,1978-08-27,3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,Good,Low-Middle,Bronze,Long Term,Moderate,0,1,1
86,Casey Mann,1988-03-28,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,Poor,Upper-Middle,Gold,Long Term,Moderate,1,0,0
87,Pedro Carpenter,1988-11-30,5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,Poor,Low-Middle,Bronze,Long Term,High,0,1,0
88,Joshua Allen,1986-12-06,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,Poor,High,Gold,Intermediate,Low,0,1,0
89,Shelly Scott,1992-12-24,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,Excellent,Low-Middle,Bronze,Short Term,High,1,1,1
90,Antonio Burton,1972-06-25,2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,Average,High,Platinum,Intermediate,Moderate,0,0,1
91,Joseph Gordon,1989-12-25,4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,Poor,Upper-Middle,Gold,Long Term,High,1,0,0
92,Jordan Anderson,2002-01-06,4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,Poor,High,Gold,Long Term,High,1,0,0
93,Mary Gill,1987-06-29,4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,Excellent,Low-Middle,Bronze,Short Term,High,1,0,1
94,Jaime Burns,1976-06-18,1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Low,1,0,0
95,Michelle Khan,1973-12-29,2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,Poor,Low,Bronze,Intermediate,Moderate,1,0,0
96,Susan Young,1975-03-19,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,Approved,Poor,Low,Bronze,Short Term,High,1,0,1
97,Kristina Herrera,1960-08-20,2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,1,1,0
98,Jeremy Martin,1962-01-19,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,Excellent,High,Gold,Long Term,Moderate,0,0,1
99,Cory Kramer,1986-06-04,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,Average,High,Gold,Intermediate,High,1,0,1
100,Michael Rodriguez,1964-08-29,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,1,0,0
101,Jimmy Monroe,1976-04-12,4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,Poor,Low,Bronze,Intermediate,High,0,0,0
102,Wendy Smith,1995-10-30,2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,Good,Low,Bronze,Short Term,Moderate,0,1,1
103,John Jackson,1993-03-04,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,Average,Upper-Middle,Silver,Long Term,Moderate,0,1,1
104,Sarah Perez,1990-02-12,4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,Average,Low-Middle,Bronze,Intermediate,High,1,0,1
105,Virginia Johnson,2000-02-27,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,Poor,Upper-Middle,Gold,Intermediate,High,0,1,0
106,Karen Gordon,2004-05-15,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,Excellent,Upper-Middle,Bronze,Long Term,Moderate,0,1,1
107,Christopher Munoz,1994-01-13,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,Excellent,High,Silver,Intermediate,High,0,1,1
108,Stephen Andrews,1997-07-29,0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,Average,Low-Middle,Silver,Short Term,Low,1,0,1
109,Kristen Barber,1994-09-26,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,Good,High,Platinum,Short Term,Low,1,1,1
110,Frances Wells,1999-12-22,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Moderate,1,0,0
111,Lisa Hamilton,2004-06-26,0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,Approved,Excellent,Low,Bronze,Intermediate,Low,0,0,1
112,Robert Miller,1977-10-12,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Moderate,1,1,0
113,Brittney Golden,1981-07-28,5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,Poor,Upper-Middle,Silver,Intermediate,High,0,0,0
114,Ann Long,1988-10-19,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,Excellent,Upper-Middle,Gold,Long Term,High,0,1,1
115,Brett Obrien,1977-08-10,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,Poor,High,Gold,Intermediate,Low,0,0,0
116,Elizabeth Perkins,1984-11-27,0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,Excellent,Low-Middle,Silver,Intermediate,Low,0,1,1
117,Mitchell Washington,1988-11-08,4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,Poor,Upper-Middle,Gold,Long Term,High,0,1,0
118,Anthony Guerrero,1988-12-01,0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,Average,Low,Bronze,Short Term,Low,0,0,1
119,Mr. Travis Sandoval,1985-09-26,0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,0,0,0
120,James Jordan,1979-11-18,1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,Good,High,Platinum,Short Term,Low,0,1,1
121,Patty Walton,1990-10-31,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,Poor,Low,Bronze,Long Term,High,1,0,0
122,Jacob Cummings,1959-03-19,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,Poor,Low,Bronze,Intermediate,Moderate,1,0,0
123,Victoria Johnson,1966-05-28,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,Average,High,Platinum,Intermediate,Low,0,0,1
124,Gloria West,2004-01-06,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,Excellent,High,Silver,Long Term,Low,0,1,1
125,Andrew Odom,1989-03-09,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,Good,Upper-Middle,Silver,Intermediate,Moderate,1,0,1
126,Matthew Thornton,1968-07-25,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,Approved,Excellent,Low,Bronze,Long Term,Moderate,1,0,1
127,Thomas Sanders,1978-10-11,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,Excellent,Low,Bronze,Intermediate,High,0,1,1
128,Aaron Malone,1959-11-19,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Moderate,0,0,0
129,Paul Wood,1962-08-26,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,Poor,Low,Bronze,Intermediate,Moderate,0,1,0
130,Chelsey Ramirez,1969-09-04,3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,Excellent,Low,Bronze,Intermediate,Moderate,1,0,1
131,David Patterson,1959-11-13,0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,Average,High,Gold,Intermediate,Low,0,1,1
132,Micheal Mitchell,1960-06-14,5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,Poor,High,Gold,Intermediate,High,1,0,0
133,Shawn Lamb,1979-07-12,3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,Poor,Low-Middle,Bronze,Long Term,Moderate,0,1,0
134,Victoria Bruce,1982-05-12,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,Poor,Upper-Middle,Silver,Intermediate,High,0,1,0
135,Joshua Blake,1960-09-10,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,Good,Low-Middle,Bronze,Long Term,Moderate,0,0,1
136,Brenda Andrade,1979-09-12,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Moderate,1,0,0
137,Julie Cooper,1997-11-22,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,Excellent,Upper-Middle,Silver,Short Term,Moderate,0,0,1
138,Brent Randolph,1970-03-19,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,Poor,Low-Middle,Bronze,Short Term,High,0,1,0
139,Nicole Warner,1974-04-10,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,Average,Low-Middle,Bronze,Intermediate,Moderate,0,1,1
140,Andrea Smith,1973-04-17,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,Rejected,Poor,Low,Bronze,Intermediate,Low,1,0,0
141,Caleb Roberts,1994-01-23,2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,Good,Low-Middle,Bronze,Intermediate,Moderate,0,1,1
142,Tina Gilmore,1978-05-01,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,Excellent,Low-Middle,Bronze,Short Term,High,0,0,1
143,Jessica Ayala,1968-06-28,0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,Excellent,Upper-Middle,Silver,Long Term,Low,1,1,1
144,Theresa Osborne,1986-04-19,4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,Poor,Upper-Middle,Silver,Long Term,High,0,0,0
145,Brittney Cook,2000-08-16,2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,Excellent,High,Platinum,Short Term,Moderate,1,1,1
146,Larry Thomas,1990-08-12,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,Poor,Low,Bronze,Intermediate,High,0,0,0
147,Stephanie Hardy,1981-04-07,3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,Excellent,Low-Middle,Bronze,Long Term,Moderate,1,1,1
148,Justin Marshall,2000-04-06,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,Average,Low-Middle,Silver,Intermediate,Moderate,1,0,1
149,Thomas Smith,1963-10-20,0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,Good,Upper-Middle,Silver,Long Term,Low,0,1,1
150,Steven Rangel,1990-04-17,5,Graduate,No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,Poor,Low-Middle,Bronze,Long Term,High,1,0,0
151,Donna Kent,1978-02-23,1,Not Graduate,Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,0,1,0
152,Gina Harris,1996-11-03,5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,Excellent,High,Gold,Short Term,High,1,1,1
153,Jordan Lopez,1992-07-23,1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,Poor,Upper-Middle,Gold,Short Term,Low,1,1,1
154,Gloria Ramirez,2002-02-14,2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected,Poor,Low-Middle,Bronze,Short Term,Moderate,0,0,0
